Date,zone,centre,Price
24-03-93,2,JODHPUR,7.5
24-03-93,3,GUWAHATI,5.8
24-03-93,3,PATNA,NA
24-03-93,3,SHILLONG,NA
24-03-93,3,AIZAWL,NA
24-03-93,3,BHUBANESHWAR,5
24-03-93,3,CUTTACK,4.8
24-03-93,3,KOLKATA,5.2
24-03-93,3,AGARTALA,NA
24-03-93,4,HYDERABAD,5.5
24-03-93,4,VIJAYAWADA,5.5
24-03-93,4,BANGALORE,6
24-03-93,4,THIRUVANANTHAPURAM,NA
24-03-93,4,ERNAKULAM,NA
24-03-93,4,CHENNAI,7
24-03-93,4,MADURAI,5.8
24-03-93,4,PONDICHERRY,7.6
31-03-93,1,HISAR,6.5
31-03-93,1,KARNAL,6
31-03-93,1,SHIMLA,7.5
31-03-93,1,MANDI,6.75
31-03-93,1,SRINAGAR,NA
31-03-93,1,JAMMU,NA
31-03-93,1,AMRITSAR,NA
31-03-93,1,LUDHIANA,NA
31-03-93,1,LUCKNOW,5
31-03-93,1,KANPUR,5.5
31-03-93,1,CHANDIGARH,6.5
31-03-93,1,DELHI,7
31-03-93,2,AHMEDABAD,5.8
31-03-93,2,RAJKOT,6.25
31-03-93,2,PANAJI,6.5
31-03-93,2,BHOPAL,6.25
31-03-93,2,INDORE,6.5
31-03-93,2,MUMBAI,7.4
31-03-93,2,NAGPUR,5.75
31-03-93,2,JAIPUR,8
31-03-93,2,JODHPUR,8
31-03-93,3,GUWAHATI,5.8
31-03-93,3,PATNA,NA
31-03-93,3,SHILLONG,NA
31-03-93,3,AIZAWL,NA
31-03-93,3,BHUBANESHWAR,5
31-03-93,3,CUTTACK,4.8
31-03-93,3,KOLKATA,5.2
31-03-93,3,AGARTALA,NA
31-03-93,4,HYDERABAD,5.5
31-03-93,4,VIJAYAWADA,5.5
31-03-93,4,BANGALORE,7
31-03-93,4,THIRUVANANTHAPURAM,7
31-03-93,4,ERNAKULAM,7.2
31-03-93,4,CHENNAI,7
31-03-93,4,MADURAI,5.8
31-03-93,4,PONDICHERRY,NA
07-04-93,1,HISAR,6.5
07-04-93,1,KARNAL,6
07-04-93,1,SHIMLA,7.75
07-04-93,1,MANDI,6.75
07-04-93,1,SRINAGAR,NA
07-04-93,1,JAMMU,6.5
07-04-93,1,AMRITSAR,NA
07-04-93,1,LUDHIANA,NA
07-04-93,1,LUCKNOW,5
07-04-93,1,KANPUR,5.5
07-04-93,1,CHANDIGARH,6.5
07-04-93,1,DELHI,7
07-04-93,2,AHMEDABAD,5.8
07-04-93,2,RAJKOT,6.25
07-04-93,2,PANAJI,6.5
07-04-93,2,BHOPAL,6.25
07-04-93,2,INDORE,6.5
07-04-93,2,MUMBAI,7.5
07-04-93,2,NAGPUR,6
07-04-93,2,JAIPUR,8
07-04-93,2,JODHPUR,8
07-04-93,3,GUWAHATI,5.8
07-04-93,3,PATNA,NA
07-04-93,3,SHILLONG,NA
07-04-93,3,AIZAWL,NA
07-04-93,3,BHUBANESHWAR,5
07-04-93,3,CUTTACK,4.8
07-04-93,3,KOLKATA,5.2
07-04-93,3,AGARTALA,NA
07-04-93,4,HYDERABAD,5.5
07-04-93,4,VIJAYAWADA,5.5
07-04-93,4,BANGALORE,7
07-04-93,4,THIRUVANANTHAPURAM,7
07-04-93,4,ERNAKULAM,7.2
07-04-93,4,CHENNAI,7
07-04-93,4,MADURAI,5.8
07-04-93,4,PONDICHERRY,NA
14-04-93,1,HISAR,6.5
14-04-93,1,KARNAL,6
14-04-93,1,SHIMLA,7.75
14-04-93,1,MANDI,NA
14-04-93,1,SRINAGAR,NA
14-04-93,1,JAMMU,6.5
14-04-93,1,AMRITSAR,NA
14-04-93,1,LUDHIANA,NA
14-04-93,1,LUCKNOW,5
14-04-93,1,KANPUR,5.5
14-04-93,1,CHANDIGARH,6.5
14-04-93,1,DELHI,7
14-04-93,2,AHMEDABAD,5.8
14-04-93,2,RAJKOT,6.25
14-04-93,2,PANAJI,NA
14-04-93,2,BHOPAL,6.25
14-04-93,2,INDORE,6.5
14-04-93,2,MUMBAI,7.5
14-04-93,2,NAGPUR,5.75
